154278|M|MtKittery Socko P.                    |MCO d 23    |16-04-1990|FD LO 65161        
154389|M|Mumindalens Mucki                     |EUR ns 22   |08-10-1998|FD LO 97734        
155053|M|Nanannan van het Hof van Logres       |BRI a       |14-03-2008|FD LO 155073       
155370|M|Navngivet af Felis Jubatus            |NFO a 23    |18-07-1993|FD LO 72864        
155505|M|Nebsagers Uppercut, DSM               |PER a 24    |08-09-1997|FD LO 92676        
155981|M|Nicci Picci Unikum from Chenet        |PER ny 11   |26-04-2005|FD LO 134689       
156221|M|Nikko af Frennepark                   |PER a 03    |13-06-1986|FD LO 44074        
156617|M|Nissen's Vimmer                       |SIA a       |15-04-1998|FD LO 94786        
157411|M|Odin 04-37                            |BRI a       |13-05-2004|FD LO 128105       
157602|M|Okonor Hakuna Matata                  |SIA b       |17-01-1995|FD LO 101599       
160184|M|Pawcatuck Bruiser                     |MCO a 22    |02-08-1990|FD LO 62340        
160476|M|Pencena Ebony, DM                     |BUR n       |17-04-1986|FD LO 43613        
160924|M|Permobiles Dancing Star               |PER e 33    |10-08-1991|FD LO 65588        
161121|M|Petovia's Rocky                       |PER ns      |08-07-2001|FD LO 113345       
161751|M|Pirol's Call Me Smacher               |PER d       |15-05-1988|FD LO 51900        
161774|M|Pirol's Red Baron                     |PER d       |27-06-1984|FD LO 37872        
162291|M|Positively Pythagoras                 |BRI a       |19-08-1998|FD LO 97845        
162424|M|Prancenpaws Misseltoe                 |PER e 33    |26-09-1993|NRR LO 118119      
163231|M|Purrsay's Sundance Kid                |PER d       |03-10-1990|FD LO 64246        
163394|M|Pussini's Jack Daniels                |EXO n 22    |27-06-1998|FD RX 14307        
163682|M|Qee-Lonje af Clipper                  |PER b 33    |20-04-1991|FD LO 62500        
165131|M|Ratchasima's Red Devil                |NFO ds 09 11|04-06-1988|FD RX 5474         
165515|M|Remis Felis Jubatus, DM               |NFO n       |20-09-1997|FD LO 92147        
166031|M|Rixa Uzo                              |MCO a 22    |28-10-2003|FD LO 132096       
166370|M|Romio Chocacholic                     |BUR b       |11-08-1996|FD LO 88378        
166811|M|Royal Row Candyman                    |PER n 33    |19-03-1988|FD LO 53956        
167978|M|S*Backkara's Lambrusco                |SBI b       |08-09-1999|FD LO 125316       
168008|M|S*Backkara's Nogger                   |SBI b       |13-11-1999|FD LO 102304       
168225|M|S*Bokbacken's Charmör                 |BRI b       |08-02-2006|FD LO 142205       
168453|M|S*Chendos Rag's Elijah                |RAG a 04 21 |27-10-2005|FD LO 138618       
168462|M|S*Chewbacca's Reddie Eddie            |NFO d 09 23 |13-01-2001|FD LO 110226       
170135|M|S*Jawora's Flimmer                    |NFO n 09 24 |24-02-2004|FD LO 127374       
170892|M|S*Louisedolls Java Darknes            |RAG b 03    |28-07-2009|FD LO 177692       
171620|M|S*Niwel Heat Of The Night             |EXO n       |18-04-2003|FD LO 126938       
172118|M|S*Raus Höjden's Andante               |SBI b       |11-05-1998|FD LO 95927        
173191|M|S*Tauron's Rudolf Rotnase             |NFO d 09    |16-10-1994|FD RX 13193        
173496|M|S*Ulabrands Merlot                    |NFO as 09 22|15-08-2002|FD LO 123882       
173569|M|S*Vadmarken's Bacchus                 |BRI d       |15-12-2004|FD LO 132278       
174415|M|Salty Dog de Broeckloni               |BRI ns 22   |21-03-1994|FD RX 10053        
175797|M|Sebastian de Pablo Diablo(N)          |NFO d 09 22 |23-04-1992|FD LO 69040        
